beamtime,crystal,logbook_entry,sample,data_type,date_collected,subject_composition,beamline,beamline_ror,has_background_images,has_braggs,has_diffuse
als_20251015,mac1_10,https://diffuse.science/logbook/beamtime/20251015-17-als/#humidity-box-mac1-crystal-10,SARS-CoV-2 Mac1,X-Ray Diffraction,2025-10-15,protein,"beamline 8.3.1, ALS (Advanced Light Source), Berkeley, CA",https://ror.org/00319zh75,TRUE,TRUE,TRUE
als_20251015,mac1_12,https://diffuse.science/logbook/beamtime/20251015-17-als/#watershed-mac1-crystal-12,SARS-CoV-2 Mac1,X-Ray Diffraction,2025-10-15,protein,"beamline 8.3.1, ALS (Advanced Light Source), Berkeley, CA",https://ror.org/00319zh75,TRUE,TRUE,TRUE
als_20251015,mac1_13,https://diffuse.science/logbook/beamtime/20251015-17-als/#watershed-mac1-crystal-13,SARS-CoV-2 Mac1,X-Ray Diffraction,2025-10-15,protein,"beamline 8.3.1, ALS (Advanced Light Source), Berkeley, CA",https://ror.org/00319zh75,TRUE,TRUE,TRUE
als_20251125,mac1_2,https://diffuse.science/logbook/beamtime/20251125-als/#3-mac1,SARS-CoV-2 Mac2,X-Ray Diffraction,2025-11-25,protein,"beamline 8.3.1, ALS (Advanced Light Source), Berkeley, CA",https://ror.org/00319zh75,TRUE,TRUE,TRUE
als_20251125,mac1_4,https://diffuse.science/logbook/beamtime/20251125-als/#8-mac1,SARS-CoV-2 Mac3,X-Ray Diffraction,2025-11-25,protein,"beamline 8.3.1, ALS (Advanced Light Source), Berkeley, CA",https://ror.org/00319zh75,TRUE,TRUE,TRUE
chess_20250924,mac1_2,https://diffuse.science/logbook/beamtime/20250924-chess/#crystal-9,SARS-CoV-2 Mac4,X-Ray Diffraction,2025-09-24,protein,"beamline 7b2, CHESS (Cornell High Energy Synchrotron Source), Ithaca, NY",https://ror.org/032bgnz47,TRUE,TRUE,TRUE
chess_20250924,mac1_3,https://diffuse.science/logbook/beamtime/20250924-chess/#crystal-10,SARS-CoV-2 Mac5,X-Ray Diffraction,2025-09-24,protein,"beamline 7b2, CHESS (Cornell High Energy Synchrotron Source), Ithaca, NY",https://ror.org/032bgnz47,TRUE,TRUE,TRUE
chess_20250924,mac1_5,https://diffuse.science/logbook/beamtime/20250924-chess/#crystal-12,SARS-CoV-2 Mac6,X-Ray Diffraction,2025-09-24,protein,"beamline 7b2, CHESS (Cornell High Energy Synchrotron Source), Ithaca, NY",https://ror.org/032bgnz47,TRUE,TRUE,TRUE
chess_20251105,mac1_4,https://diffuse.science/logbook/beamtime/20251105-chess/#9-mac1,SARS-CoV-2 Mac7,X-Ray Diffraction,2025-11-05,protein,"beamline 7b2, CHESS (Cornell High Energy Synchrotron Source), Ithaca, NY",https://ror.org/032bgnz47,TRUE,TRUE,TRUE
chess_20251105,mac1_5,https://diffuse.science/logbook/beamtime/20251105-chess/#11-mac1,SARS-CoV-2 Mac8,X-Ray Diffraction,2025-11-05,protein,"beamline 7b2, CHESS (Cornell High Energy Synchrotron Source), Ithaca, NY",https://ror.org/032bgnz47,TRUE,TRUE,TRUE
